ID Y X
1 11.1 18.3
2 4.2 32
3 2.3 30
4 4 16.6
5 7.5 54.3
6 7.4 30.2
7 2.1 32
8 15.8 39.9
9 3.4 35.9
10 4.8 14
11 4.2 36.3
12 8.2 34.5
13 4.5 23.6
14 3.2 38.8
15 2.5 36.9
16 2.1 25
17 2.1 24.3
18 2.6 12.2
19 5.7 21.3
20 2.9 26
21 2.3 25
22 5.9 22
23 18.1 18.9
24 2.9 19.8
25 4.4 16.2
26 4.9 22.2
27 3 15.4
28 4.4 27
29 3.8 16.4
30 2.7 20.1
31 3.3 47.3
32 3.5 21.7
33 6.1 13.7
34 6.9 17.7
35 7.8 26.7 
36 4 17.7
37 4 41
38 4.4 60.9
39 3.6 20.6
40 3.2 24.7
41 16.4 34.4
42 13.6 21.6
43 17.6 32.4
44 5.7 21.4
45 4.5 25.1
46 6.6 15.2
47 4.9 32.2
48 5.8 23.9
49 7.7 16
50 5.4 28.1
51 5.6 20.8
52 2.9 8.8
53 4 4.1
54 4.2 5.1
55 3.5 7.1
56 3.1 6.3
57 2.8 5.8
58 3.8 7.7
59 4 9.4
60 5.9 18.5
61 3.6 6.8
62 3.9 7.1
63 4.5 10.6
64 4 8
65 4.2 7.2
66 4 9.9
67 3.5 4
68 2.7 6.4
69 3.6 8.2
70 4.3 10.9
71 3.8 7.7
72 4.1 9.4
73 3.6 8.5
74 4.2 8.5
75 4.6 12.8
76 3.9 12.6
77 4.5 13.5
78 5.2 14.3
79 4.2 16.2
80 8.4 14.2
81 5.1 10.1
